id,observed_on,quality_grade,latitude,longitude,taxon_id,taxon_name,common_name,iconic_taxon,rank,place_guess,observer,num_id_agreements,url
511669,2010-08-13,research,43.9755,-92.3715,64968,Anaxyrus americanus,American Toad,Amphibia,species,"5455 Eisenhower Ln SE, Rochester, Minnesota, US",chrispherp,2,http://www.inaturalist.org/observations/511669
4279913,2010-09-16,research,47.084939252,-92.6472222805,66012,Lithobates sylvaticus,Wood Frog,Amphibia,species,"Sax-Zim Bog, St Louis County, MN, USA",saxzimbog,1,http://www.inaturalist.org/observations/4279913
9397125,2010-10-09,research,44.944079881,-93.435494017,66003,Lithobates pipiens,Northern Leopard Frog,Amphibia,species,"Minnetonka, MN, USA",heatherholm,2,https://www.inaturalist.org/observations/9397125
9533109,2010-06-04,research,47.194445,-95.165253,66012,Lithobates sylvaticus,Wood Frog,Amphibia,species,"36750 Main Park Drive, Park Rapids, MN 56470, USA",trig125,2,https://www.inaturalist.org/observations/9533109
9533110,2010-06-01,research,47.194445,-95.165253,52354,Ambystoma laterale,Blue-spotted Salamander,Amphibia,species,"36750 Main Park Drive, Park Rapids, MN 56470, USA",trig125,2,https://www.inaturalist.org/observations/9533110
9533114,2010-06-11,research,47.194783,-96.173429,64747,Anaxyrus,North American Toads,Amphibia,genus,"County Rd 36, Twin Valley, MN 56584, USA",trig125,4,https://www.inaturalist.org/observations/9533114
11948964,2010-08-09,research,48.847738,-94.84966,64968,Anaxyrus americanus,American Toad,Amphibia,species,Zippel Bay State Park,figaro,1,https://www.inaturalist.org/observations/11948964
14553466,2010-07-13,research,47.6363644337,-91.5301471031,65982,Lithobates clamitans,Green Frog,Amphibia,species,"Lake County, MN, USA",dianaterryhibbitts,2,https://www.inaturalist.org/observations/14553466
58968616,2010-07-23,research,47.0236856841,-92.6118026991,64968,Anaxyrus americanus,American Toad,Amphibia,species,"St Louis County, MN, USA",ryangrow,2,https://www.inaturalist.org/observations/58968616
64745498,2010-05-31,research,47.1206907473,-91.7111964579,1668923,Dryophytes versicolor,Gray Treefrog,Amphibia,species,"Lake County, MN, USA",gordonhommes,1,https://www.inaturalist.org/observations/64745498
106494846,2010-06-05,research,44.978634,-93.181529,123594,Anaxyrus americanus americanus,Eastern American Toad,Amphibia,subspecies,"St. Paul, Minnesota, United States",squamatologist,2,https://www.inaturalist.org/observations/106494846
106494944,2010-06-05,research,44.978634,-93.181529,123594,Anaxyrus americanus americanus,Eastern American Toad,Amphibia,subspecies,"Falcon Heights, MN, USA",squamatologist,2,https://www.inaturalist.org/observations/106494944
106620879,2010-09-12,research,45.182551,-93.641366,66003,Lithobates pipiens,Northern Leopard Frog,Amphibia,species,"Hanover, Minnesota, United States",squamatologist,2,https://www.inaturalist.org/observations/106620879
159514272,2010-08-24,research,43.785327907,-96.1913165696,64968,Anaxyrus americanus,American Toad,Amphibia,species,"Minnesota, US",seabeck,2,https://www.inaturalist.org/observations/159514272
217322791,2010-08-23,research,44.062655,-92.044542,65982,Lithobates clamitans,Green Frog,Amphibia,species,white water state park,seabeck,1,https://www.inaturalist.org/observations/217322791
18534,2011-05-22,research,45.3843616,-96.5164188,66003,Lithobates pipiens,Northern Leopard Frog,Amphibia,species,"Big Stone Lake State Park, MN",woodswalker,1,http://www.inaturalist.org/observations/18534
20151,2011-06-03,research,44.9687805,-93.2778175,1668923,Dryophytes versicolor,Gray Treefrog,Amphibia,species,Nicollet and 14th in Minneapolis,blevenson,2,http://www.inaturalist.org/observations/20151
25385,2011-07-17,research,47.4032873457,-94.6824073792,64968,Anaxyrus americanus,American Toad,Amphibia,species,,swbrandt,3,http://www.inaturalist.org/observations/25385
25613,2011-07-20,research,47.4034035318,-94.6821928024,64968,Anaxyrus americanus,American Toad,Amphibia,species,,swbrandt,2,http://www.inaturalist.org/observations/25613
117391,2011-05-06,research,44.3020812,-92.2236667,24268,Pseudacris crucifer,Spring Peeper,Amphibia,species,"Weaver Dunes Scientific and Natural Area, Wabasha County, MN",hselen,1,http://www.inaturalist.org/observations/117391
1217249,2011-04-11,research,44.465319,-93.193792,66003,Lithobates pipiens,Northern Leopard Frog,Amphibia,species,"Minnesota, United States",scottking,1,http://www.inaturalist.org/observations/1217249
1230957,2011-05-18,research,44.465341,-93.153892,64968,Anaxyrus americanus,American Toad,Amphibia,species,"Northfield, Minnesota, United States",scottking,1,http://www.inaturalist.org/observations/1230957
9954273,2011-06-25,research,44.0043826095,-91.4625549316,66003,Lithobates pipiens,Northern Leopard Frog,Amphibia,species,"Winona County, MN, USA",shabrobtilus,1,https://www.inaturalist.org/observations/9954273
18775958,2011-06-06,research,47.7034300963,-93.5624729111,64968,Anaxyrus americanus,American Toad,Amphibia,species,"Itasca County, Minnesota, Verenigde Staten",rbeunen,1,https://www.inaturalist.org/observations/18775958
18838295,2011-06-07,research,47.194971697,-95.168639226,66012,Lithobates sylvaticus,Wood Frog,Amphibia,species,"Hubbard County, Minnesota, Verenigde Staten",rbeunen,3,https://www.inaturalist.org/observations/18838295
20261646,2011-08-12,research,46.2706498403,-94.3330234329,1668923,Dryophytes versicolor,Gray Treefrog,Amphibia,species,Crow Wing State Park,figaro,3,https://www.inaturalist.org/observations/20261646
20261647,2011-08-13,research,47.5874529,-94.7516528,1668923,Dryophytes versicolor,Gray Treefrog,Amphibia,species,"Turtle River, MN 56601, USA",figaro,1,https://www.inaturalist.org/observations/20261647
33526708,2011-06-17,research,44.658344185,-93.1684174272,64968,Anaxyrus americanus,American Toad,Amphibia,species,"Minnesota, US",matthewt6416,1,https://www.inaturalist.org/observations/33526708
