id,observed_on,quality_grade,latitude,longitude,taxon_id,taxon_name,common_name,iconic_taxon,rank,place_guess,observer,num_id_agreements,url
7178183,2010-04-15,research,45.195247,-92.785559,146314,Opheodrys vernalis,Smooth Greensnake,Reptilia,species,"Washington County, US-MN, US",greg_johnson,3,https://www.inaturalist.org/observations/7178183
9533112,2010-06-04,research,47.194445,-95.165253,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"36750 Main Park Drive, Park Rapids, MN 56470, USA",trig125,1,https://www.inaturalist.org/observations/9533112
9533113,2010-06-11,research,47.194445,-95.165253,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"36750 Main Park Drive, Park Rapids, MN 56470, USA",trig125,1,https://www.inaturalist.org/observations/9533113
9533115,2010-06-11,research,46.3526733,-94.2020084,73801,Plestiodon septentrionalis,Prairie Skink,Reptilia,species,"Brainerd, MN 56401, USA",trig125,1,https://www.inaturalist.org/observations/9533115
16835205,2010-09-12,research,46.7158627738,-92.2003180142,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Riverside, Duluth, MN, USA",skuross,1,https://www.inaturalist.org/observations/16835205
22070150,2010-07-24,research,47.9000527818,-92.5559159629,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"St Louis County, MN, USA",gonodactylus,1,https://www.inaturalist.org/observations/22070150
63419900,2010-05-15,research,43.7381349718,-91.9658690206,717858,Aspidoscelis sexlineatus,Six-lined Racerunner,Reptilia,species,"Minnesota, US",jeff_leclere,2,https://www.inaturalist.org/observations/63419900
105275020,2010-08-28,research,47.0225966636,-92.613424309,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"St Louis County, MN, USA",ryangrow,3,https://www.inaturalist.org/observations/105275020
106494847,2010-06-05,research,45.253274,-93.107371,200805,Plestiodon septentrionalis septentrionalis,Northern Prairie Skink,Reptilia,subspecies,"Columbus, Minnesota, United States",squamatologist,4,https://www.inaturalist.org/observations/106494847
164088826,2010-07-29,research,47.7151809,-91.2679189,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Sawbill Landing, MN 55607, USA",mthieroff,2,https://www.inaturalist.org/observations/164088826
200654084,2010-08-06,research,45.3102900898,-92.6224760733,73788,Plestiodon fasciatus,Common Five-lined Skink,Reptilia,species,"Minnesota, US",naturalistdave99,2,https://www.inaturalist.org/observations/200654084
201631673,2010-05-28,research,44.7807021319,-95.5082164128,108348,Pantherophis ramspotti,Western Foxsnake,Reptilia,species,"Chippewa County, MN, USA",naturalistdave99,5,https://www.inaturalist.org/observations/201631673
117393,2011-05-07,research,44.3146641297,-92.08420625,39885,Emydoidea blandingii,Blanding's Turtle,Reptilia,species,"Minnesota, US",hselen,4,http://www.inaturalist.org/observations/117393
1217248,2011-04-11,research,44.465319,-93.193792,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Minnesota, United States",scottking,1,http://www.inaturalist.org/observations/1217248
1229156,2011-04-12,research,44.519263,-92.941962,39771,Chrysemys picta,Painted Turtle,Reptilia,species,"Cannon Falls, Minnesota, United States",scottking,2,http://www.inaturalist.org/observations/1229156
1231232,2011-05-31,research,44.573575,-92.652384,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Red Wing, Minnesota, United States",scottking,2,http://www.inaturalist.org/observations/1231232
2858428,2011-06-30,research,43.9851666667,-92.5681666667,108348,Pantherophis ramspotti,Western Foxsnake,Reptilia,species,"2500–2900 County Road 15 SW, Salem, MN, US",mathew2,6,http://www.inaturalist.org/observations/2858428
5422644,2011-09-08,research,44.919743819,-93.1190528901,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"West Side, St Paul, MN, USA",gordon_dietzman,1,https://www.inaturalist.org/observations/5422644
5623942,2011-07-30,research,45.380660603,-92.705039978,39682,Chelydra serpentina,Common Snapping Turtle,Reptilia,species,"Franconia Sculpture Park, USA",nannie,1,https://www.inaturalist.org/observations/5623942
8334127,2011-06-23,research,46.6654691873,-92.324246112,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"Carlton County, MN, USA",gordon_dietzman,1,https://www.inaturalist.org/observations/8334127
9112045,2011-06-01,research,48.071349,-90.080537,28362,Thamnophis sirtalis,Common Garter Snake,Reptilia,species,"3860 Arrowhead Trail, Hovland, MN 55606, USA",lincolndurey,2,https://www.inaturalist.org/observations/9112045
9395125,2011-06-13,research,44.9449911301,-93.4359660772,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Minnetonka, MN, USA",heatherholm,2,https://www.inaturalist.org/observations/9395125
11570295,2011-07-06,research,47.2364055226,-91.4077734947,26575,Diadophis punctatus,Ring-necked Snake,Reptilia,species,"Lake County, MN, USA",gordonhommes,2,https://www.inaturalist.org/observations/11570295
18746434,2011-05-06,research,46.2807944497,-94.3386882583,29925,Heterodon platirhinos,Eastern Hognose Snake,Reptilia,species,Crow Wing State Park,figaro,4,https://www.inaturalist.org/observations/18746434
18772710,2011-06-11,research,45.4943150669,-93.6948394775,39773,Chrysemys picta bellii,Western Painted Turtle,Reptilia,subspecies,"Sherburne County, Minnesota, Verenigde Staten",rbeunen,3,https://www.inaturalist.org/observations/18772710
